Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
948	16249	17609.75	19902.875
949	16249	17609.75	19902.875
950	16249	17609.75	19902.875
951	16249	17609.75	19902.875
952	16249	17609.75	19902.875
954	16249	17609.75	19902.875
956	16249	17609.75	19935.75
957	16249	17609.75	19869
959	16249	17609.75	19801.5
960	16249	17609.75	19801.5
961	16249	17609.75	19801.5
963	16249	17609.75	19834.375
964	16249	17609.75	19834.375
965	16249	17609.75	19834.375
967	16249	17609.75	19834.375
969	16249	17609.75	19801
970	16249	17609.75	19801
971	16249	17609.75	19801
972	16249	17609.75	19767.625
973	16249	17609.75	19767.625
974	16249	17609.75	19767.625
975	16249	17609.75	19666.75
976	16249	17609.75	19666.75
978	16249	17609.75	19396.25
979	16249	17609.75	19046.125
980	16249	17609.75	18561.5
981	16249	17609.75	18353.625
983	16249	17609.75	18101.375
984	16249	17609.75	17975.875
986	16249	17609.75	17632.75
987	16249	17609.75	17540.875
988	16249	17609.75	17314.25
990	16249	17609.75	16964.875
