Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
496	31.2	31.2	71.5	24.5	6.675	2.25	69.2	17.75	23.325	11.2625
497	31.2	31.2	71.5	24.5	6.675	2.25	69.2	16.75	23.325	11.2625
498	31.2	31.2	71.5	24.5	6.675	2.25	69.2	16.75	23.325	11.2375
500	31.2	31.2	71.5	24.5	6.675	2.25	69.2	18	23.325	11.25
501	31.2	31.2	71.5	24.65	6.675	2.25	69.2	16.95	23.325	11.325
502	31.2	31.2	71.5	24.65	6.675	2.25	69.2	16.95	23.325	11.225
504	31.2	31.2	71.5	24.65	6.675	2.25	69.2	17.05	23.325	11.225
506	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.05	23.325	11.2
507	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.05	23.325	11.3375
509	31.2	31.2	71.5	24.8	6.675	2.25	69.2	18	23.325	11.35
510	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.05	23.325	11.1625
511	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.05	23.325	11.3625
513	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.2	23.325	11.1375
515	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.2	23.525	11.125
516	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.2	23.325	11.1125
518	31.2	31.2	71.5	24.8	6.675	2.25	69.2	17.2	23.325	11.1125
520	31.1	31.1	71.5	24.85	6.675	2.25	69.2	17.2	23.325	11.1
522	31.1	31.1	71.5	24.85	6.675	2.25	69.2	18.2	23.325	11.0875
523	31.1	31.1	71.5	24.85	6.675	2.25	69.2	17.2	23.325	11.0875
525	31.2	31.2	71.5	24.85	6.675	2.25	69.2	17.2	23.325	11.075
527	31.1	31.1	71.5	24.9	6.675	2.25	69.2	17.3	23.325	11.0625
529	31.1	31.1	71.5	25.5	6.675	2.25	69.2	17.5	23.45	11.0625
531	31.1	31.1	71.5	25.5	6.675	2.25	69.2	17.5	23.45	11.0375
533	31.1	31.1	71.5	25.7	6.675	2.25	69.2	17.5	23.45	11.025
535	31.1	31.1	71.5	25.7	6.675	2.25	69.2	17.5	23.45	11.0625
537	31.1	31.1	71.5	25.7	6.675	2.25	69.2	17.5	23.45	11.0625
539	31.2	31.2	71.5	25.7	6.675	2.25	69.2	17.5	23.45	11.0375
541	31.1	31.1	71.6	25.7	6.675	2.25	69.2	17.5	23.6	11.025
542	31.1	31.1	71.5	25.7	6.675	2.25	69.2	17.7	23.45	11.025
